10.07.2023 06:04:20.094;Framework.exe;I;New Logfile created.
10.07.2023 06:04:20.104;Check_SettingFile.vi;I;File: "FW_settings.ini" found..
10.07.2023 06:04:20.112;Check_SettingFile.vi;I;File: "settings.xml" found..
10.07.2023 06:04:20.245;Check_SettingFile.vi;I;File: "settings.xml" found..
10.07.2023 06:04:20.290;FW_Utility_Settings_ReadAll.vi;I;SoftwareInfo: FW Build (Framework.exe) Version  1.0.3.13
10.07.2023 06:04:20.299;FW_Utility_Settings_ReadAll.vi;I;SoftwareInfo: FW Installer (Setup.exe) Version  1.3.13
10.07.2023 06:04:20.306;FW_Utility_Settings_ReadAll.vi;I;SoftwareInfo: Database Batch (DBInstaller.bat) Version  1.21
10.07.2023 06:04:20.393;FW_DB_OpenCloseDB_Connection.vi;I;Open "OMD"-Connection
10.07.2023 06:04:20.593;FW_DB_OpenCloseDB_Connection.vi;I;Open "MDW"-Connection
10.07.2023 06:04:20.627;FW_DB_OpenCloseDB_Connection.vi;I;Open "PDW"-Connection
10.07.2023 06:04:20.858;GetLanguageFiles.vi;DB;EXEC dbo.GET_Language_MessageFiles 'Testschritt' --Successfully executed! [0.212 s]
10.07.2023 06:04:20.937;GetLanguageFiles.vi;DB;EXEC dbo.GET_ERROR_MessageFiles --Successfully executed! [0.068 s]
10.07.2023 06:04:20.962;GetLanguageFiles.vi;DB;EXEC dbo.GET_Language_MessageFiles 'LVFramework' --Successfully executed! [0.017 s]
10.07.2023 06:04:20.997;DB_CheckLinkedServer.vi;DB;EXEC dbo.Check_LinkedServerChange --Successfully executed! [0.025 s]
10.07.2023 06:04:21.019;DB_CheckLinkedServer.vi;DB;Select dbo.getLinkedServer() --Successfully executed! [0.002 s]
10.07.2023 06:04:21.046;DB_SaveInformations.vi;DB;EXEC dbo.Update_TProdResInstSignLocal 'MMAGIPC7224','90:1B:0E:E2:01:F4','MMAGIPC7224','325557-303','1.0.3.13','1','1.21','MMAG','1','NULL' --Successfully executed! [0.019 s]
10.07.2023 06:04:21.079;FW_DB_R_TProdResInstSignLocal_Approbated.vi;DB;EXEC dbo.FW_Update_TProdResInstSignLocal_ProdResInst --Successfully executed! [0.024 s]
10.07.2023 06:04:21.278;FW_Sprache_SetLanguage_FW_Everything.vi;I;Setze Sprache FW  [0.190 s]
10.07.2023 06:04:21.374;FW_Utility_Check_SVNTemporarilyDisable_isEngineering.vi;DB;EXEC dbo.FW_Check_SVN_TemporarilyDisable --Successfully executed! [0.087 s]
10.07.2023 06:04:21.610;DataSocket_Server_Control.vi;I;Datasocket_Server: Command "Close" called... = Successfully!
10.07.2023 06:04:21.776;DataSocket_Server_Control.vi;I;Datasocket_Server: Command "Launch" called... = Successfully!
10.07.2023 06:04:21.787;DataSocket_Server_Control.vi;I;Datasocket_Server: Command "Hide" called... = Successfully!
10.07.2023 06:04:22.299;FW_SVN_Get_PA.vi;DB;EXEC dbo.FW_Get_TTestNameLocal --Successfully executed! [0.003 s]
10.07.2023 06:04:22.313;FW_SVN_Get_PA.vi;DB;EXEC dbo.FW_Add_TTestNameLocal 'PA_Drive','V1.70','https://svnprod.maxonmotor.com/svn/BM-MS/Q-Tool_2012/PA/PA_Drive/tags/V1.70','MMAGFAGE','62337','2023-05-22 11:23:29','FALSE' --Successfully executed! [0.005 s]
10.07.2023 06:04:22.457;FW_SVN_Get_PA.vi;DB;EXEC dbo.procSyncTTestNameLocal --Successfully executed! [0.134 s]
10.07.2023 06:04:22.561;DS_Open.vi;I;Datasocket_URL: dstp://localhost/Status = Successfully!
10.07.2023 06:04:22.697;StateMachine_dynload.vi;SM;Init
10.07.2023 06:04:22.706;DRV_FW_Handling_NetworkQ_Function_Event_Writer_Answer.vi;I;Init Writer: //MMAGIPC7224:FW/DRV_FW_Handling_NetworkQ_Event_Writer_Answer / //MMAGIPC7224:EXT/DRV_FW_Handling_NetworkQ_Event_Reader_Answer
10.07.2023 06:04:22.715;DRV_FW_Handling_NetworkQ_Function_Event_Reader.vi;I;Init Reader: //MMAGIPC7224:FW/DRV_FW_Handling_NetworkQ_Event_Reader / //MMAGIPC7224:EXT/DRV_FW_Handling_NetworkQ_Event_Writer
10.07.2023 06:04:22.817;Datenbank.vi;Q 'DB';Start: "DB_SyncOMD"
10.07.2023 06:04:22.822;KeyboxProzess_update.vi;Q'->Keybox';KB_StopReset
10.07.2023 06:04:26.387;Datenbank.vi;DB;EXEC dbo.procMasterSyncOMD --Successfully executed! [3.521 s]
10.07.2023 06:04:26.405;FW_DB_R_TProdResInstSignLocal_Approbated.vi;DB;EXEC dbo.FW_Update_TProdResInstSignLocal_ProdResInst --Successfully executed! [0.008 s]
10.07.2023 06:04:26.421;FW_DB_R_ProdResInstPA.vi;DB;EXEC dbo.FW_Get_ProdResInst_PA '325557-303' --Successfully executed! [0.006 s]
10.07.2023 06:04:26.446;Datenbank.vi;DB;EXEC dbo.FW_Get_AdapterMode --Successfully executed! [0.015 s]
10.07.2023 06:04:26.488;Datenbank.vi;Q 'DB';End: "DB_SyncOMD" [3.671 s] 
10.07.2023 06:04:26.498;Datenbank.vi;Q 'DB';Start: "DB_SyncMDW"
